image_id,seed,threshold,best_clip_similarity
image_03,0,0.006,0.463670134544
image_03,1,0.006,0.465513050556
image_03,2,0.006,0.485209286213
image_03,0,0.007,0.457973837852
image_03,1,0.007,0.456370949745
image_03,2,0.007,0.480071127415
image_03,0,0.008,0.473140746355
image_03,1,0.008,0.481668591499
image_03,2,0.008,0.460990011692
image_03,0,0.009,0.467898368835
image_03,1,0.009,0.457260966301
image_03,2,0.009,0.466259926558
image_03,0,0.010,0.463640421629
image_03,1,0.010,0.443014502525
image_03,2,0.010,0.477506369352
image_03,0,0.011,0.424997627735
image_03,1,0.011,0.428527891636
image_03,2,0.011,0.420996546745
image_03,0,0.012,0.275461405516
image_03,1,0.012,0.272305071354
image_03,2,0.012,0.266200900078
image_04,0,0.000,0.473627448082
image_04,1,0.000,0.481739223003
image_04,2,0.000,0.479876726866
image_04,0,0.001,0.486441999674
image_04,1,0.001,0.488539576530
image_04,2,0.001,0.500820517540
image_04,0,0.002,0.507322013378
image_04,1,0.002,0.493948459625
image_04,2,0.002,0.489757746458
image_04,0,0.003,0.496384859085
image_04,1,0.003,0.495842725039
image_04,2,0.003,0.489277720451
image_04,0,0.004,0.491844475269
image_04,1,0.004,0.486739218235
image_04,2,0.004,0.493374824524
image_04,0,0.005,0.480859935284
image_04,1,0.005,0.490961819887
image_04,2,0.005,0.505984783173
image_04,0,0.006,0.500063836575
image_04,1,0.006,0.480200320482
image_04,2,0.006,0.490598797798
image_04,0,0.007,0.489351809025
image_04,1,0.007,0.479080826044
image_04,2,0.007,0.491737186909
image_04,0,0.008,0.474812865257
image_04,1,0.008,0.501725971699
image_04,2,0.008,0.485844671726
image_04,0,0.009,0.485365539789
image_04,1,0.009,0.491404145956
image_04,2,0.009,0.478108197451
image_04,0,0.010,0.478662848473
image_04,1,0.010,0.482318669558
image_04,2,0.010,0.477060377598
image_04,0,0.011,0.441253602505
image_04,1,0.011,0.455284535885
image_04,2,0.011,0.442010760307
image_04,0,0.012,0.359188139439
image_04,1,0.012,0.349189490080
image_04,2,0.012,0.324632138014
image_05,0,0.000,0.490508437157
image_05,1,0.000,0.504624128342
image_05,2,0.000,0.509093582630
image_05,0,0.001,0.502909302711
image_05,1,0.001,0.504315793514
image_05,2,0.001,0.505485951900
image_05,0,0.002,0.516326367855
image_05,1,0.002,0.516071200371
image_05,2,0.002,0.517226755619
image_05,0,0.003,0.514845967293
image_05,1,0.003,0.515855610371
image_05,2,0.003,0.517004132271
image_05,0,0.004,0.534031271935
image_05,1,0.004,0.523788630962
image_05,2,0.004,0.499044924974
image_05,0,0.005,0.511467099190
image_05,1,0.005,0.505342721939
image_05,2,0.005,0.505224406719
image_05,0,0.006,0.476569771767
image_05,1,0.006,0.511945247650
image_05,2,0.006,0.496340811253
image_05,0,0.007,0.497172683477
image_05,1,0.007,0.503261983395
image_05,2,0.007,0.502310752869
image_05,0,0.008,0.500056564808
image_05,1,0.008,0.521451354027
image_05,2,0.008,0.507756590843
image_05,0,0.009,0.504824042320
image_05,1,0.009,0.496520817280
image_05,2,0.009,0.472627103329
image_05,0,0.010,0.501182079315
image_05,1,0.010,0.500438690186
image_05,2,0.010,0.503176152706
image_05,0,0.011,0.447600275278
image_05,1,0.011,0.472281068563
image_05,2,0.011,0.446669340134
image_05,0,0.012,0.341412901878
image_05,1,0.012,0.339335560799
image_05,2,0.012,0.320387244225
image_06,0,0.000,0.532763719559
image_06,1,0.000,0.538699507713
image_06,2,0.000,0.542832255363
image_06,0,0.001,0.559557497501
image_06,1,0.001,0.558423876762
image_06,2,0.001,0.553120553493
image_06,0,0.002,0.537775158882
image_06,1,0.002,0.545860767365
image_06,2,0.002,0.556550860405
image_06,0,0.003,0.551816582680
image_06,1,0.003,0.551589965820
image_06,2,0.003,0.541197001934
image_06,0,0.004,0.558430433273
image_06,1,0.004,0.553825497627
image_06,2,0.004,0.540487289429
image_06,0,0.005,0.543251574039
image_06,1,0.005,0.543527662754
image_06,2,0.005,0.577328145504
image_06,0,0.006,0.535779774189
image_06,1,0.006,0.562871158123
image_06,2,0.006,0.549609661102
image_06,0,0.007,0.557071924210
image_06,1,0.007,0.540531873703
image_06,2,0.007,0.536264181137
image_06,0,0.008,0.556068301201
image_06,1,0.008,0.552481710911
image_06,2,0.008,0.527133226395
image_06,0,0.009,0.554679632187
image_06,1,0.009,0.556250095367
image_06,2,0.009,0.538460493088
image_06,0,0.010,0.541769385338
image_06,1,0.010,0.536072313786
image_06,2,0.010,0.528126895428
image_06,0,0.011,0.516722381115
image_06,1,0.011,0.507629334927
image_06,2,0.011,0.525562286377
image_06,0,0.012,0.371321320534
image_06,1,0.012,0.359517455101
image_06,2,0.012,0.395895808935
image_07,0,0.000,0.511752605438
image_07,1,0.000,0.507609724998
image_07,2,0.000,0.512299001217
image_07,0,0.001,0.517617762089
image_07,1,0.001,0.538330674171
image_07,2,0.001,0.511030018330
image_07,0,0.002,0.514027833939
image_07,1,0.002,0.513984441757
image_07,2,0.002,0.519957780838
image_07,0,0.003,0.516884982586
image_07,1,0.003,0.533847212791
image_07,2,0.003,0.514284133911
image_07,0,0.004,0.516013801098
image_07,1,0.004,0.516286969185
image_07,2,0.004,0.536642611027
image_07,0,0.005,0.520640969276
image_07,1,0.005,0.540764272213
image_07,2,0.005,0.511409878731
image_07,0,0.006,0.517962396145
image_07,1,0.006,0.511767029762
image_07,2,0.006,0.514085412025
image_07,0,0.007,0.538645029068
image_07,1,0.007,0.514290213585
image_07,2,0.007,0.521620213985
image_07,0,0.008,0.515898942947
image_07,1,0.008,0.515230417252
image_07,2,0.008,0.512696564198
image_07,0,0.009,0.511872231960
image_07,1,0.009,0.516985058784
image_07,2,0.009,0.514823555946
image_07,0,0.010,0.515120327473
image_07,1,0.010,0.495758086443
image_07,2,0.010,0.501215457916
image_07,0,0.011,0.452538311481
image_07,1,0.011,0.472215205431
image_07,2,0.011,0.480887025595
image_07,0,0.012,0.313929736614
image_07,1,0.012,0.324496626854
image_07,2,0.012,0.315100491047
image_08,0,0.000,0.576801955700
image_08,1,0.000,0.546768069267
image_08,2,0.000,0.556148290634
image_08,0,0.001,0.579315900803
image_08,1,0.001,0.556536018848
image_08,2,0.001,0.559687972069
image_08,0,0.002,0.580340504646
image_08,1,0.002,0.562965512276
image_08,2,0.002,0.572025418282
image_08,0,0.003,0.587820827961
image_08,1,0.003,0.562063157558
image_08,2,0.003,0.554599285126
image_08,0,0.004,0.543192982674
image_08,1,0.004,0.570890724659
image_08,2,0.004,0.572775423527
image_08,0,0.005,0.566251814365
image_08,1,0.005,0.573603749275
image_08,2,0.005,0.569520115852
image_08,0,0.006,0.559833765030
image_08,1,0.006,0.560019850731
image_08,2,0.006,0.561379849911
image_08,0,0.007,0.562248766422
image_08,1,0.007,0.566045165062
image_08,2,0.007,0.558201909065
image_08,0,0.008,0.579017043114
image_08,1,0.008,0.562938868999
image_08,2,0.008,0.555965900421
image_08,0,0.009,0.557466149330
image_08,1,0.009,0.571753978729
image_08,2,0.009,0.556805610657
image_08,0,0.010,0.548313438892
image_08,1,0.010,0.564835190773
image_08,2,0.010,0.593052446842
image_08,0,0.011,0.537411510944
image_08,1,0.011,0.515744566917
image_08,2,0.011,0.529841423035
image_08,0,0.012,0.305713593960
image_08,1,0.012,0.291709125042
image_08,2,0.012,0.306368231773
